iterations,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,6127,4,332,126,0,1279,150
1,5404,2,590,165,5,1720,143
2,5416,4,466,255,1,1722,161
3,4561,3,517,245,8,2493,226
4,3958,5,163,108,3,3494,277
5,3632,5,0,0,0,4072,294
6,3331,3,0,0,0,4351,314
7,3029,4,0,0,0,4632,333
8,2648,6,0,0,0,5006,341
9,2422,8,0,0,0,5213,363
10,2236,9,0,0,0,5380,383
11,2057,7,0,0,0,5549,389
12,1899,9,0,0,0,5690,406
13,1793,7,0,0,0,5762,437
14,1720,9,0,0,0,5845,432
15,1514,6,0,0,0,6040,438
