iterations,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,6135,4,337,121,0,1266,154
1,3716,16,193,2289,102,1785,221
2,3774,23,182,2165,117,1839,239
3,3128,16,146,2548,138,2146,276
4,3060,31,48,1449,78,3197,384
5,2827,19,66,1583,90,3271,403
6,2996,47,37,851,32,3679,483
7,3087,39,45,780,35,3620,516
8,3346,45,3,175,4,3882,607
9,3332,51,23,321,14,3727,608
10,3607,53,0,0,0,3735,666
11,3543,54,10,102,5,3646,708
12,3645,56,0,0,0,3608,751
13,3601,61,0,0,0,3650,759
14,3686,69,0,0,0,3558,764
15,3740,61,0,0,0,3494,776
